Need help please,bot
Need help,bot
I need some information,bot
Will you help me?,bot
What else can you do?,bot
What do you do?,bot
What can you help me with?,bot
What can you do?,bot
What are you good at?,bot
Need help please,bot
How can you help me,bot
Can you help me?,bot
How can you assist?,bot
How can you help me?,bot
How do you help?,bot
How to help you?,bot
How will you assist me?,bot
i need help,bot
Can you tell some information,bot
Help me please,bot
Is this a bot?,bot
Is there a bot chatting to me?,bot
Bot or human?,bot
Bot is chatting with me?,bot
Are you robot?,bot
Are you machine?,bot
Are you just computer?,bot
Are you a robot?,bot
Are you a person?,bot
Are you a machine?,bot
Are you a chatbot?,bot
Are you a bot?,bot
Am I talking to a bot?,bot
You are a boy or girl?,bot
You are a bot or human?,bot
This is a machine?,bot
This is a chatbot?,bot
Is this a machine?,bot
Are you a human?,bot
Who are you?,bot
What can I call you?,bot
Your name?,bot
Can you tell me your name?,bot
Are you there?,bot
Anyone there?,bot
What is your name?,bot
are you a bot?,bot
Is anyone there?,bot
Your name is?,bot
Who is chatting?,bot
Tell me about your self?,bot
Who are you?,bot
Who am I chatting with?,bot
What's your name?,bot
What should I say as your name?,bot
Tell me your name?,bot
What are you called?,bot
I have a question,bot
Need to ask a query,bot
I have a question for you,bot
Having a query,bot
I have a query for you,bot
I have a query,bot
Have a query for you,bot
I need help please,bot
I need help,bot
are you a boy,bot
are you a girl,bot
Are you there?,bot
Which facilites are provided by college,facilities
What Facilites provided by college,facilities
Does college have a canteen,facilities
Is there any Canteen available,facilities
Does College have canteen or not,facilities
How many canteen are available in the college,facilities
Does college have a Hostel,facilities
What are the hostel facilities provided by college,facilities
Is there a mess in college,facilities
Does hostel provides mess facilities,facilities
Is there a mess in Hostel,facilities
Is seperate hostel for boys and girls,facilities
Which sports are available in college,facilities
Tell me about the Sports played in college,facilities
Is there library in college,facilities
Does college have library facility,facilities
Is there any Library available or not,facilities
Is there auditorium in college,facilities
Does college have Auditorium,facilities
Is there wifi facility available in college,facilities
Wifi facility availabel or not in the college,facilities
Does college provide free wifi facility or not,facilities
Is there Mess available in college,facilities
Is there any Canteen available or not,facilities
Which sports are played in college,facilities
Is there student commitees are available in college,facilities
Which commitiees are avaialbe for student developements,facilities
Is there bus facilities available in college,facilities
How many buses are available in college,facilities
For which region buses are available,facilities
Does college provide Bus facilities,facilities
Is there seperate bus facilities for boys and girls,facilities
Is there any parking available in college,facilities
Does college provide Parking facilities,facilities
Is there seperate parking facilities for boys and girls,facilities
Is there seperate parking facilities for two wheelers and four wheelers,facilities
four wheeler parking is available or not,facilities
Is filter water available here,facilities
Filter water available or not,facilities
Is there any gym facilities available here,facilities
Is there any gym facilities available in college,facilities
Does college celebrate annual gathering,facilities
Does sanjivani have annual gathering,facilities
Which National events are  celebrate in campus,facilities
How many playgrounds in college,facilities
Different student accociation in the college,facilities
What is SAC in sanjivani,facilities
Is there Internet center is available in college,facilities
what are the alumni association in sanjivani,facilities
which sports are mostly played here,facilities
what are the different sports events every year,facilities
what are the mess facilities in college,facilities
different departmental association in college,facilities
Which technical events are conducted  in the college,facilities
national level technical events organised here,facilities
Is there any program conducted for student refreshment,facilities
different platform for showcasing the talents,facilities
Which cultural events celebrated here,facilities
How is the quality of food in college,facilities
do college have mobile application for notices,facilities
documents require to enter in college,dept_info
is there scheme of earn and learn,facilities
who is the head of student association of sanjivani,facilities
which indoor sports are played in college,facilities
How many courses are offered by the college,Admission
courses offered by college,Admission
Which streams are available in college,Admission
how namy branches are available in college?,Admission
which branches are available in the college,Admission
Can you give some information about courses offered by the college,Admission
Tell me about courses offered by the college,Admission
Tell me about streams available in college,Admission
Tell me about branches available in the college,Admission
How many seats are available in computer department,Admission
How many seats are allocate for computer department,Admission
What is the intake for computer department,Admission
How many seats are available in civil department,Admission
How many seats are allocate for civil department,Admission
What is the intake for civil department,Admission
How many seats are available in e and tc department,Admission
How many seats are available for electronics and telecommunication department,Admission
How many seats are allocate for electronics and telecommunication department,Admission
